1,4790223619179625,2021-10-11,7689
1,4790022371029382,2022-07-22,2948
5,4790624892362947,2021-12-09,4578
3,4790241284290141,2019-11-07,1111
5,5168745362179240,2024-09-10,2962
4,7249124814924719,2020-05-17,6821
11,729492139249233,2019-02-16,8451
2,5168745123674123,2018-01-02,4153
14,3056930902590412,2021-08-11,5764
15,5267423465123456,2022-01-26,7864
14,3056930902581238,2021-02-16,1126
2,51687451842193234,2022-02-26,1719
10,6011556448578946,2021-07-11,2744
7,4012888888881881,2017-09-27,2136
8,3530111333300000,2022-08-19,9874
